timeUTC, timeOffset, activityIndex, activityCount
1446246305, -4, 1.89807487, 0.42603287
1446246335, -4, 1.94154572, 0.41135871
1446246365, -4, 2.10495806, 0.43465850
1446246395, -4, 0.96159869, 0.26963678
1446246425, -4, 0.46893921, 0.17306647
1446246455, -4, 0.43259218, 0.13670406
1446246485, -4, 1.60415459, 0.33827800
1446246515, -4, 2.30721998, 0.42543155
1446246545, -4, 1.69524515, 0.39354795
1446246575, -4, 0.34650251, 0.11973304
1446246605, -4, 0.35236344, 0.10851728
1446246635, -4, 1.93004036, 0.38665748
1446246665, -4, 2.07667422, 0.41722897
1446246695, -4, 2.07291102, 0.43170360
1446246725, -4, 2.01053238, 0.42693326
1446246755, -4, 2.06561184, 0.42573231
1446246785, -4, 1.64130676, 0.34316176
1446246815, -4, 0.40031987, 0.15346661
1446246845, -4, 0.35236344, 0.12998462
1446246875, -4, 0.35884258, 0.12185237
1446246905, -4, 1.52814662, 0.27666587
1446246935, -4, 2.08681965, 0.44455820
1446246965, -4, 1.78584659, 0.38830915
1446246995, -4, 0.97652447, 0.23186202
1446247025, -4, 0.34316176, 0.10851728
1446247055, -4, 0.33293843, 0.11648176
1446247085, -4, 0.37077215, 0.13193938
1446247115, -4, 0.85266638, 0.19066201
1446247145, -4, 0.06974238, 0.05542563
1446247175, -4, 0.10851728, 0.08313844
1446247205, -4, 0.04800000, 0.05059644
1446247235, -4, 0.08763561, 0.07332121
1446247265, -4, 0.07673331, 0.06400000
1446247295, -4, 0.05306600, 0.05059644
1446247325, -4, 0.06400000, 0.05306600
1446247355, -4, 0.08158431, 0.06974238
1446247385, -4, 0.03577709, 0.03919183
1446247415, -4, 0.08313844, 0.06596969
1446247445, -4, 0.07838367, 0.05986652
1446247475, -4, 0.07673331, 0.05542563
1446247505, -4, 0.08158431, 0.06400000
1446247535, -4, 0.08000000, 0.06400000
1446247565, -4, 0.05986652, 0.05059644
1446247595, -4, 0.12393547, 0.08000000
1446247625, -4, 0.10119288, 0.06974238
1446247655, -4, 0.09329523, 0.06974238
1446247685, -4, 0.09600000, 0.07155418
1446247715, -4, 0.05768882, 0.05542563
1446247745, -4, 0.06596969, 0.05306600
1446247775, -4, 0.09465728, 0.07155418
1446247805, -4, 0.05306600, 0.05059644
1446247835, -4, 0.04800000, 0.04525483
1446247865, -4, 0.07332121, 0.05986652
1446247895, -4, 0.07332121, 0.05986652
1446247925, -4, 0.05306600, 0.05306600
1446247955, -4, 0.02771281, 0.03577709
1446247985, -4, 0.03919183, 0.03919183
1446248015, -4, 0.05542563, 0.05306600
1446248045, -4, 0.08616263, 0.06596969
1446248075, -4, 0.09732420, 0.08000000
1446248105, -4, 0.07155418, 0.05986652
1446248135, -4, 0.10969047, 0.07673331
1446248165, -4, 0.08313844, 0.06596969
1446248195, -4, 0.11648176, 0.08158431
1446248225, -4, 0.08158431, 0.06400000
1446248255, -4, 0.08158431, 0.06974238
1446248285, -4, 0.06596969, 0.05768882
1446248315, -4, 0.08158431, 0.06596969
1446248345, -4, 0.05542563, 0.05306600
1446248375, -4, 0.07838367, 0.06596969
1446248405, -4, 0.06788225, 0.05768882
1446248435, -4, 0.06400000, 0.05306600
1446248465, -4, 0.08000000, 0.06196773
1446248495, -4, 0.08158431, 0.06788225
1446248525, -4, 0.05986652, 0.05542563
1446248555, -4, 0.03919183, 0.04525483
1446248585, -4, 0.06596969, 0.05986652
1446248615, -4, 0.07673331, 0.05986652
1446248645, -4, 0.06196773, 0.04800000
1446248675, -4, 0.06788225, 0.05986652
1446248705, -4, 0.05986652, 0.05306600
1446248735, -4, 0.03200000, 0.04233202
1446248765, -4, 0.06196773, 0.05059644
1446248795, -4, 0.05986652, 0.05768882
1446248825, -4, 0.06400000, 0.05542563
1446248855, -4, 0.09191300, 0.07332121
1446248885, -4, 0.05986652, 0.05059644
1446248915, -4, 0.09863062, 0.07332121
1446248945, -4, 0.03919183, 0.04525483
1446248975, -4, 0.06596969, 0.05542563
1446249005, -4, 0.08466404, 0.06596969
1446249035, -4, 0.06974238, 0.06196773
1446249065, -4, 0.08616263, 0.06788225
1446249095, -4, 0.05059644, 0.04800000
1446249125, -4, 0.05306600, 0.04525483
1446249155, -4, 0.07155418, 0.06196773
1446249185, -4, 0.08313844, 0.06974238
1446249215, -4, 0.08763561, 0.06400000
1446249245, -4, 0.05542563, 0.05059644
1446249275, -4, 0.08313844, 0.06596969
1446249305, -4, 0.05542563, 0.05059644
1446249335, -4, 0.08466404, 0.06400000
1446249365, -4, 0.06400000, 0.05986652
1446249395, -4, 0.06596969, 0.05542563
1446249425, -4, 0.06788225, 0.05986652
1446249455, -4, 0.07332121, 0.06400000
1446249485, -4, 0.07155418, 0.05768882
1446249515, -4, 0.06400000, 0.05542563
1446249545, -4, 0.10851728, 0.07504665
1446249575, -4, 0.09191300, 0.06788225
1446249605, -4, 0.08000000, 0.05768882
1446249635, -4, 0.03577709, 0.04233202
1446249665, -4, 0.13290597, 0.09329523
1446249695, -4, 0.06196773, 0.05059644
1446249725, -4, 0.05986652, 0.05059644
1446249755, -4, 0.06974238, 0.05542563
1446249785, -4, 0.07155418, 0.06196773
1446249815, -4, 0.06400000, 0.05542563
1446249845, -4, 0.08908423, 0.06400000
1446249875, -4, 0.04525483, 0.05059644
1446249905, -4, 0.08000000, 0.06596969
1446249935, -4, 0.08466404, 0.06400000
1446249965, -4, 0.06196773, 0.05059644
1446249995, -4, 0.08763561, 0.07332121
1446250025, -4, 0.05986652, 0.05542563
1446250055, -4, 0.04800000, 0.05306600
1446250085, -4, 0.07332121, 0.06196773
1446250115, -4, 0.06788225, 0.05986652
1446250145, -4, 0.07838367, 0.06400000
1446250175, -4, 0.08313844, 0.06974238
1446250205, -4, 0.03919183, 0.03919183
1446250235, -4, 0.03200000, 0.03577709
1446250265, -4, 0.09991997, 0.08000000
1446250295, -4, 0.05768882, 0.05059644
1446250325, -4, 0.07504665, 0.05986652
1446250355, -4, 0.06400000, 0.05059644
1446250385, -4, 0.04525483, 0.04800000
1446250415, -4, 0.05768882, 0.05306600
1446250445, -4, 0.07332121, 0.06196773
1446250475, -4, 0.04800000, 0.04800000
1446250505, -4, 0.07838367, 0.06788225
1446250535, -4, 0.03919183, 0.04525483
1446250565, -4, 0.05059644, 0.04233202
1446250595, -4, 0.06400000, 0.05542563
1446250625, -4, 0.03200000, 0.03577709
1446250655, -4, 0.07504665, 0.06400000
1446250685, -4, 0.02771281, 0.03577709
1446250715, -4, 0.05059644, 0.04800000
1446250745, -4, 0.07155418, 0.05768882
1446250775, -4, 0.04800000, 0.04800000
1446250805, -4, 0.06596969, 0.05986652
1446250835, -4, 0.05306600, 0.04525483
1446250865, -4, 0.04800000, 0.04800000
1446250895, -4, 0.05306600, 0.05306600
1446250925, -4, 0.08313844, 0.06974238
1446250955, -4, 0.04233202, 0.04800000
1446250985, -4, 0.05306600, 0.04800000
1446251015, -4, 0.05059644, 0.04800000
1446251045, -4, 0.03577709, 0.03919183
1446251075, -4, 0.07838367, 0.06196773
1446251105, -4, 0.03919183, 0.04233202
1446251135, -4, 0.06596969, 0.05986652
1446251165, -4, 0.09050967, 0.07155418
1446251195, -4, 0.07155418, 0.05768882
1446251225, -4, 0.06974238, 0.05986652
1446251255, -4, 0.04233202, 0.04525483
1446251285, -4, 0.03200000, 0.03919183
1446251315, -4, 0.04525483, 0.04800000
1446251345, -4, 0.08908423, 0.06596969
1446251375, -4, 0.08158431, 0.06974238
1446251405, -4, 0.05306600, 0.05306600
1446251435, -4, 0.07838367, 0.05306600
1446251465, -4, 0.04800000, 0.04800000
1446251495, -4, 0.07504665, 0.05986652
1446251525, -4, 0.04233202, 0.04525483
1446251555, -4, 0.04525483, 0.04800000
1446251585, -4, 0.08313844, 0.05768882
1446251615, -4, 0.06974238, 0.06400000
1446251645, -4, 0.06400000, 0.05768882
1446251675, -4, 0.07838367, 0.05986652
1446251705, -4, 0.05542563, 0.04800000
1446251735, -4, 0.05768882, 0.05306600
1446251765, -4, 0.09732420, 0.07155418
1446251795, -4, 0.05542563, 0.05059644
1446251825, -4, 0.09991997, 0.07332121
1446251855, -4, 0.07673331, 0.06196773
1446251885, -4, 0.05986652, 0.05306600
1446251915, -4, 0.05986652, 0.05768882
1446251945, -4, 0.08763561, 0.07155418
1446251975, -4, 0.06974238, 0.06196773
1446252005, -4, 0.06596969, 0.05768882
1446252035, -4, 0.05986652, 0.05306600
1446252065, -4, 0.03919183, 0.04233202
1446252095, -4, 0.05768882, 0.05059644
1446252125, -4, 0.04800000, 0.05059644
1446252155, -4, 0.05986652, 0.05306600
1446252185, -4, 0.08000000, 0.06400000
1446252215, -4, 0.07673331, 0.05542563
1446252245, -4, 0.08616263, 0.06788225
1446252275, -4, 0.06400000, 0.05059644
1446252305, -4, 0.07504665, 0.05768882
1446252335, -4, 0.07504665, 0.05986652
1446252365, -4, 0.06974238, 0.05768882
1446252395, -4, 0.06400000, 0.05542563
1446252425, -4, 0.07332121, 0.05768882
1446252455, -4, 0.06974238, 0.05768882
1446252485, -4, 0.05986652, 0.05059644
1446252515, -4, 0.04233202, 0.04233202
1446252545, -4, 0.05768882, 0.05059644
1446252575, -4, 0.05306600, 0.05306600
1446252605, -4, 0.05306600, 0.05059644
1446252635, -4, 0.08763561, 0.06974238
1446252665, -4, 0.08313844, 0.06400000
1446252695, -4, 0.03577709, 0.04233202
1446252725, -4, 0.06196773, 0.05059644
1446252755, -4, 0.08763561, 0.06788225
